Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Placar Atlanta Hawks,Placar Adversário
2025-02-08,WAS,W,Away,125,
2025-02-07,ATL vs. MIL,W,Home,115,
2025-02-05,ATL vs. SAS,L,Home,125,
2025-02-03,DET,W,Away,132,
2025-02-01,IND,L,Away,127,
2025-01-30,CLE,L,Away,115,
2025-01-28,ATL vs. HOU,L,Home,96,
2025-01-27,MIN,L,Away,92,
2025-01-25,ATL vs. TOR,L,Home,94,
2025-01-23,ATL vs. TOR,L,Home,119,
2025-01-22,ATL vs. DET,L,Home,104,
2025-01-20,NYK,L,Away,110,
2025-01-18,BOS,W,Away,119,
2025-01-15,CHI,W,Away,110,
2025-01-14,ATL vs. PHX,W,Home,122,
2025-01-09,PHX,L,Away,115,
2025-01-07,UTA,W,Away,124,
2025-01-04,LAC,L,Away,105,
2025-01-03,LAL,L,Away,102,
2025-01-01,DEN,L,Away,120,
2024-12-29,TOR,W,Away,136,
2024-12-28,ATL vs. MIA,W,Home,120,
2024-12-26,ATL vs. CHI,W,Home,141,
2024-12-23,ATL vs. MIN,W,Home,117,
2024-12-21,ATL vs. MEM,L,Home,112,
2024-12-19,SAS,L,Away,126,
2024-12-14,MIL,L,Away,102,
2024-12-11,NYK,W,Away,108,
2024-12-08,ATL vs. DEN,L,Home,111,
2024-12-06,ATL vs. LAL,W,Home,134,
2024-12-04,MIL,W,Away,119,
2024-12-02,ATL vs. NOP,W,Home,124,
2024-11-30,CHA,W,Away,107,
2024-11-29,ATL vs. CLE,W,Home,117,
2024-11-27,CLE,W,Away,135,
2024-11-25,ATL vs. DAL,L,Home,119,
2024-11-22,CHI,L,Away,122,
2024-11-20,GSW,L,Away,97,
2024-11-18,SAC,W,Away,109,
2024-11-17,POR,L,Away,110,
2024-11-15,ATL vs. WAS,W,Home,129,
2024-11-12,BOS,W,Away,117,
2024-11-09,ATL vs. CHI,L,Home,113,
2024-11-08,DET,L,Away,121,
2024-11-06,ATL vs. NYK,W,Home,121,
2024-11-04,ATL vs. BOS,L,Home,93,
2024-11-03,NOP,W,Away,126,
2024-11-01,ATL vs. SAC,L,Home,115,
2024-10-30,WAS,L,Away,120,
2024-10-28,ATL vs. WAS,L,Home,119,
2024-10-27,OKC,L,Away,104,
2024-10-25,ATL vs. CHA,W,Home,125,
2024-10-23,ATL vs. BKN,W,Home,120,
2024-10-17,OKC,L,Away,99,
2024-10-16,MIA,L,Away,111,
2024-10-14,ATL vs. PHI,L,Home,89,
2024-10-08,ATL vs. IND,W,Home,131,
