Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Placar do Jogo,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra,Minutos
Clint Capela,2025-01-27T00:00:00,MIN,L,Away,-0.7975145182351867,1.8392952519196712,-0.5929309526775921,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:14,-1.3158324181870404
Clint Capela,2025-01-25T00:00:00,TOR,L,Home,-1.3403254468769368,-0.7118126144674576,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,13:55,-2.2789041614082994
Clint Capela,2025-01-22T00:00:00,DET,L,Home,-0.14614140386508662,0.679700767198249,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:12,-1.320219988771192
Clint Capela,2025-01-20T00:00:00,NYK,L,Away,-0.5803901467784867,0.44778187025396465,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:34,-1.5352109473946165
Clint Capela,2025-01-18T00:00:00,BOS,W,Away,-1.557449818333637,0.44778187025396465,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,20:57,-1.3531267681523285
Clint Capela,2025-01-15T00:00:00,CHI,W,Away,-0.6889523325068367,0.679700767198249,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:03,-1.3399640563998738
Clint Capela,2025-01-14T00:00:00,PHX,W,Home,-1.557449818333637,0.21586297330968018,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:50,-1.5001103827214046
Clint Capela,2025-01-09T00:00:00,PHX,L,Away,-0.7975145182351867,0.9116196641425335,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:54,-0.7015725364058278
Clint Capela,2025-01-07T00:00:00,UTA,W,Away,0.07098296759161342,-0.2479748205788887,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:15,-0.7871301627967823
Clint Capela,2025-01-04T00:00:00,LAC,L,Away,-1.231763261148587,-0.01605592363460425,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,18:31,-1.6734194207953896
Clint Capela,2025-01-03T00:00:00,LAL,L,Away,-1.0146388896918868,-0.01605592363460425,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,22:27,-1.15568609186551
Clint Capela,2025-01-01T00:00:00,DEN,L,Away,-1.4488876326052869,-0.01605592363460425,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:35,-1.533017162102541
Clint Capela,2024-12-29T00:00:00,TOR,W,Away,-0.6889523325068367,1.1435385610868178,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,26:35,-0.6116273394307217
Clint Capela,2024-12-28T00:00:00,MIA,W,Home,-1.231763261148587,-0.01605592363460425,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:22,-1.2982821358504344
Clint Capela,2024-12-26T00:00:00,CHI,W,Home,-1.0146388896918868,-0.7118126144674576,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:05,-0.8090680157175401
Clint Capela,2024-12-23T00:00:00,MIN,W,Home,-1.4488876326052869,0.21586297330968018,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:30,-0.7542233834156459
Clint Capela,2024-12-21T00:00:00,MEM,L,Home,-1.0146388896918868,0.21586297330968018,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,18:40,-1.6536753531667074
Clint Capela,2024-12-19T00:00:00,SAS,L,Away,-0.7975145182351867,0.44778187025396465,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:35,-1.2697629270534496
Clint Capela,2024-12-14T00:00:00,MIL,L,Away,-1.231763261148587,0.21586297330968018,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,28:44,-0.32862903675294836
