SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,TEAM,WIN,HOME_AWAY,HOME_TEAM,AWAY_TEAM,OPPONENT,PTS_OPP
22024,1610612737,ATL,Atlanta Hawks,22400744,2025-02-08,ATL @ WAS,W,240,125,47,97,0.485,18,44,0.409,13,17,0.765,8,33,41,36,6,7,11,19,14.0,Atlanta Hawks,1,Away,WAS,ATL,WAS,
22024,1610612737,ATL,Atlanta Hawks,22400736,2025-02-07,ATL vs. MIL,W,240,115,45,92,0.489,13,36,0.361,12,18,0.667,11,41,52,29,6,6,11,14,5.0,Atlanta Hawks,1,Home,ATL,ATL vs. MIL,ATL vs. MIL,
22024,1610612737,ATL,Atlanta Hawks,22400719,2025-02-05,ATL vs. SAS,L,240,125,48,91,0.527,16,42,0.381,13,18,0.722,8,37,45,33,5,5,20,14,-1.0,Atlanta Hawks,0,Home,ATL,ATL vs. SAS,ATL vs. SAS,
22024,1610612737,ATL,Atlanta Hawks,22400701,2025-02-03,ATL @ DET,W,240,132,42,81,0.519,16,37,0.432,32,39,0.821,5,32,37,27,8,7,12,27,2.0,Atlanta Hawks,1,Away,DET,ATL,DET,
22024,1610612737,ATL,Atlanta Hawks,22400686,2025-02-01,ATL @ IND,L,240,127,45,90,0.5,14,37,0.378,23,32,0.719,11,33,44,31,6,4,12,23,-5.0,Atlanta Hawks,0,Away,IND,ATL,IND,
22024,1610612737,ATL,Atlanta Hawks,22400675,2025-01-30,ATL @ CLE,L,240,115,41,90,0.456,13,39,0.333,20,27,0.741,10,26,36,28,10,1,11,18,-22.0,Atlanta Hawks,0,Away,CLE,ATL,CLE,
22024,1610612737,ATL,Atlanta Hawks,22400532,2025-01-28,ATL vs. HOU,L,240,96,36,89,0.404,11,47,0.234,13,16,0.813,9,31,40,19,11,5,16,18,-4.0,Atlanta Hawks,0,Home,ATL,ATL vs. HOU,ATL vs. HOU,
22024,1610612737,ATL,Atlanta Hawks,22400656,2025-01-27,ATL @ MIN,L,241,92,34,86,0.395,12,43,0.279,12,18,0.667,14,37,51,24,10,3,21,20,-8.0,Atlanta Hawks,0,Away,MIN,ATL,MIN,
22024,1610612737,ATL,Atlanta Hawks,22400639,2025-01-25,ATL vs. TOR,L,238,94,33,84,0.393,11,37,0.297,17,25,0.68,8,35,43,28,14,5,22,20,-23.0,Atlanta Hawks,0,Home,ATL,ATL vs. TOR,ATL vs. TOR,
22024,1610612737,ATL,Atlanta Hawks,22400623,2025-01-23,ATL vs. TOR,L,240,119,42,87,0.483,13,37,0.351,22,30,0.733,9,27,36,30,11,2,14,21,-3.0,Atlanta Hawks,0,Home,ATL,ATL vs. TOR,ATL vs. TOR,
