Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra
Trae Young,2024-12-04T00:00:00,MIL,W,Away,17,4,7,9,0,35:23
Trae Young,2024-12-02T00:00:00,NOP,W,Home,12,8,15,9,2,35:50
Trae Young,2024-11-30T00:00:00,CHA,W,Away,14,4,5,6,2,30:48
Trae Young,2024-11-29T00:00:00,CLE,W,Home,21,3,11,5,2,34:40
Trae Young,2024-11-27T00:00:00,CLE,W,Away,20,4,22,13,3,36:57
Trae Young,2024-11-25T00:00:00,DAL,L,Home,18,2,16,4,2,35:16
Trae Young,2024-11-22T00:00:00,CHI,L,Away,25,1,13,8,1,37:31
Trae Young,2024-11-20T00:00:00,GSW,L,Away,12,3,11,6,1,30:20
Trae Young,2024-11-18T00:00:00,SAC,W,Away,7,3,19,2,0,35:43
Trae Young,2024-11-17T00:00:00,POR,L,Away,29,5,8,10,5,37:55
Trae Young,2024-11-15T00:00:00,WAS,W,Home,18,2,9,9,4,33:07
Trae Young,2024-11-09T00:00:00,CHI,L,Home,14,3,16,6,2,37:52
Trae Young,2024-11-08T00:00:00,DET,L,Away,35,2,13,12,6,41:00
Trae Young,2024-11-06T00:00:00,NYK,W,Home,23,6,10,9,3,35:15
Trae Young,2024-11-04T00:00:00,BOS,L,Home,2,0,6,6,0,23:15
Trae Young,2024-11-03T00:00:00,NOP,W,Away,23,4,12,10,5,31:21
Trae Young,2024-11-01T00:00:00,SAC,L,Home,25,5,12,9,3,42:18
Trae Young,2024-10-30T00:00:00,WAS,L,Away,35,4,15,13,4,40:21
Trae Young,2024-10-28T00:00:00,WAS,L,Home,14,8,13,10,2,35:44
Trae Young,2024-10-27T00:00:00,OKC,L,Away,24,1,8,7,2,37:03
Trae Young,2024-10-25T00:00:00,CHA,W,Home,38,8,10,14,5,41:29
Trae Young,2024-10-23T00:00:00,BKN,W,Home,30,5,12,6,2,36:40
Jalen Johnson,2025-01-23T00:00:00,TOR,L,Home,3,1,1,0,0,10:47
Jalen Johnson,2025-01-22T00:00:00,DET,L,Home,17,9,4,6,0,37:32
Jalen Johnson,2025-01-20T00:00:00,NYK,L,Away,11,12,4,0,0,34:55
