Temporada,Jogador,Total Jogos (Atual),Média Pontos (Atual),Média Assistências (Atual),Média Rebotes (Atual),Minutos por Jogo (Atual),Total Jogos (Carreira),Média Pontos (Carreira),Média Assistências (Carreira),Média Rebotes (Carreira)
2024-25,Clint Capela,45,9.422222222222222,1.2,9.0,22.436296296296295,654,12.064220183486238,1.0214067278287462,10.582568807339449
2024-25,Trae Young,49,23.489795918367346,11.428571428571429,3.163265306122449,36.04319727891157,456,25.285087719298247,9.710526315789474,3.5219298245614037
2024-25,Jalen Johnson,36,18.88888888888889,5.027777777777778,9.972222222222221,35.67083333333333,184,10.994565217391305,2.5543478260869565,6.2771739130434785
