SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,TEAM,WIN,HOME_AWAY,HOME_TEAM,AWAY_TEAM,OPPONENT,PTS_OPP
22023,1610612737,ATL,Atlanta Hawks,22300866,2024-03-02,ATL @ BKN,L,241,102,37,87,0.425,11,34,0.324,17,23,0.739,12,30,42,23,4,4,11,19,-12.0,Atlanta Hawks,0,Away,BKN,ATL,BKN,
22023,1610612737,ATL,Atlanta Hawks,22300851,2024-02-29,ATL @ BKN,L,241,97,37,86,0.43,8,28,0.286,15,21,0.714,8,31,39,18,3,8,11,14,-27.0,Atlanta Hawks,0,Away,BKN,ATL,BKN,
22023,1610612737,ATL,Atlanta Hawks,22300835,2024-02-27,ATL vs. UTA,W,239,124,46,93,0.495,12,32,0.375,20,23,0.87,15,40,55,27,8,8,17,15,27.0,Atlanta Hawks,1,Home,ATL,ATL vs. UTA,ATL vs. UTA,
22023,1610612737,ATL,Atlanta Hawks,22300821,2024-02-25,ATL vs. ORL,W,241,109,41,90,0.456,12,29,0.414,15,17,0.882,9,35,44,31,10,3,9,17,17.0,Atlanta Hawks,1,Home,ATL,ATL vs. ORL,ATL vs. ORL,
22023,1610612737,ATL,Atlanta Hawks,22300804,2024-02-23,ATL vs. TOR,L,239,121,46,106,0.434,12,39,0.308,17,24,0.708,20,34,54,27,5,4,9,11,-2.0,Atlanta Hawks,0,Home,ATL,ATL vs. TOR,ATL vs. TOR,
22023,1610612737,ATL,Atlanta Hawks,22300777,2024-02-14,ATL @ CHA,L,239,99,36,89,0.404,9,38,0.237,18,20,0.9,15,30,45,23,5,6,16,20,-23.0,Atlanta Hawks,0,Away,CHA,ATL,CHA,
22023,1610612737,ATL,Atlanta Hawks,22300763,2024-02-12,ATL vs. CHI,L,241,126,44,94,0.468,14,43,0.326,24,29,0.828,15,34,49,33,4,3,11,20,-10.0,Atlanta Hawks,0,Home,ATL,ATL vs. CHI,ATL vs. CHI,
22023,1610612737,ATL,Atlanta Hawks,22300754,2024-02-10,ATL vs. HOU,W,240,122,40,88,0.455,14,41,0.341,28,37,0.757,9,32,41,25,7,8,11,18,9.0,Atlanta Hawks,1,Home,ATL,ATL vs. HOU,ATL vs. HOU,
22023,1610612737,ATL,Atlanta Hawks,22300742,2024-02-09,ATL @ PHI,W,240,127,42,81,0.519,16,36,0.444,27,33,0.818,9,31,40,31,4,9,13,19,6.0,Atlanta Hawks,1,Away,PHI,ATL,PHI,
22023,1610612737,ATL,Atlanta Hawks,22300729,2024-02-07,ATL @ BOS,L,240,117,43,102,0.422,13,41,0.317,18,20,0.9,13,36,49,24,8,2,9,13,-8.0,Atlanta Hawks,0,Away,BOS,ATL,BOS,
22023,1610612737,ATL,Atlanta Hawks,22300716,2024-02-05,ATL vs. LAC,L,240,144,51,95,0.537,20,39,0.513,22,27,0.815,13,26,39,35,5,4,11,22,-5.0,Atlanta Hawks,0,Home,ATL,ATL vs. LAC,ATL vs. LAC,
22023,1610612737,ATL,Atlanta Hawks,22300699,2024-02-03,ATL vs. GSW,W,264,141,55,114,0.482,14,43,0.326,17,22,0.773,16,41,57,27,5,4,8,20,7.0,Atlanta Hawks,1,Home,ATL,ATL vs. GSW,ATL vs. GSW,
22023,1610612737,ATL,Atlanta Hawks,22300690,2024-02-02,ATL vs. PHX,W,240,129,49,95,0.516,17,44,0.386,14,18,0.778,12,31,43,29,7,4,9,13,9.0,Atlanta Hawks,1,Home,ATL,ATL vs. PHX,ATL vs. PHX,
22023,1610612737,ATL,Atlanta Hawks,22300669,2024-01-30,ATL vs. LAL,W,240,138,53,101,0.525,16,38,0.421,16,18,0.889,12,34,46,32,10,2,12,18,16.0,Atlanta Hawks,1,Home,ATL,ATL vs. LAL,ATL vs. LAL,
22023,1610612737,ATL,Atlanta Hawks,22300653,2024-01-28,ATL vs. TOR,W,241,126,44,95,0.463,6,27,0.222,32,40,0.8,20,31,51,27,7,4,14,21,1.0,Atlanta Hawks,1,Home,ATL,ATL vs. TOR,ATL vs. TOR,
22023,1610612737,ATL,Atlanta Hawks,22300634,2024-01-26,ATL vs. DAL,L,239,143,51,97,0.526,15,34,0.441,26,30,0.867,12,24,36,32,7,2,7,24,-5.0,Atlanta Hawks,0,Home,ATL,ATL vs. DAL,ATL vs. DAL,
22023,1610612737,ATL,Atlanta Hawks,22300626,2024-01-24,ATL @ GSW,L,241,112,39,94,0.415,14,43,0.326,20,26,0.769,13,32,45,30,7,2,10,16,-22.0,Atlanta Hawks,0,Away,GSW,ATL,GSW,
22023,1610612737,ATL,Atlanta Hawks,22300613,2024-01-22,ATL @ SAC,L,240,107,36,93,0.387,14,40,0.35,21,27,0.778,13,37,50,19,2,7,12,19,-15.0,Atlanta Hawks,0,Away,SAC,ATL,SAC,
22023,1610612737,ATL,Atlanta Hawks,22300595,2024-01-20,ATL vs. CLE,L,239,95,37,93,0.398,11,38,0.289,10,15,0.667,11,34,45,25,5,4,11,15,-21.0,Atlanta Hawks,0,Home,ATL,ATL vs. CLE,ATL vs. CLE,
22023,1610612737,ATL,Atlanta Hawks,22300587,2024-01-19,ATL @ MIA,W,241,109,40,87,0.46,15,35,0.429,14,17,0.824,9,29,38,23,6,2,13,20,1.0,Atlanta Hawks,1,Away,MIA,ATL,MIA,
