Estatística,X,Probabilidade Acima,Probabilidade Abaixo,Probabilidade Exata
Pontos,10,0.571301482096723,0.428698517903277,0.02806875850536002
Pontos,20,0.32361486733109757,0.6763851326689024,0.02044324111286387
Pontos,30,0.1651389415504395,0.8348610584495605,0.011648080889718655
Rebotes,10,0.2445880594879205,0.7554119405120795,0.042380988189649936
Rebotes,20,0.037242834643680056,0.9627571653563199,0.007308726332620847
Rebotes,30,0.005122491817427188,0.9948775081825728,0.001021956148534013
Assistências,10,0.17597145748819876,0.8240285425118012,0.042691928633441845
Assistências,20,0.013225186048500759,0.9867748139514992,0.003516557368103425
Assistências,30,0.0009153492797301377,0.9990846507202699,0.0002449052347677394
